iter	Passed	Remaining
625	1238	740
626	1240	738
627	1243	736
628	1245	734
629	1246	732
630	1248	730
631	1250	728
632	1251	725
633	1253	723
634	1255	721
635	1257	719
636	1258	717
637	1260	715
638	1262	713
639	1264	711
640	1265	709
641	1267	706
642	1269	704
643	1271	702
644	1272	700
645	1274	698
646	1275	696
647	1277	694
648	1279	692
649	1281	689
650	1282	687
651	1284	685
652	1286	683
653	1288	681
654	1290	679
655	1291	677
656	1293	675
657	1295	673
658	1296	671
659	1298	669
660	1300	666
661	1302	664
662	1303	662
663	1305	660
664	1307	658
665	1308	656
666	1310	654
667	1312	652
668	1314	650
669	1315	648
670	1317	646
671	1319	644
672	1321	641
673	1322	639
674	1324	637
675	1326	635
676	1327	633
677	1329	631
678	1331	629
679	1333	627
680	1335	625
681	1336	623
682	1338	621
683	1340	619
684	1341	616
685	1343	614
686	1344	612
687	1346	610
688	1348	608
689	1350	606
690	1352	604
691	1353	602
692	1355	600
693	1357	598
694	1358	596
695	1360	594
696	1362	592
697	1364	590
698	1365	588
699	1367	586
700	1369	584
701	1370	581
702	1372	579
703	1374	577
704	1375	575
705	1377	573
706	1379	571
707	1381	569
708	1382	567
709	1384	565
710	1386	563
711	1387	561
712	1389	559
713	1391	557
714	1392	555
715	1394	553
716	1396	551
717	1397	549
718	1399	546
719	1401	544
720	1403	542
721	1404	540
722	1406	538
723	1408	536
724	1411	535
725	1413	533
726	1415	531
727	1418	530
728	1420	528
729	1422	526
730	1425	524
731	1427	522
732	1429	520
733	1430	518
734	1432	516
735	1434	514
736	1435	512
737	1437	510
738	1439	508
739	1441	506
740	1443	504
741	1444	502
742	1446	500
743	1448	498
744	1449	496
745	1451	494
746	1453	492
747	1455	490
748	1457	488
749	1458	486
750	1460	484
751	1461	482
752	1463	480
753	1465	478
754	1467	476
755	1469	474
756	1470	472
757	1472	470
758	1474	468
759	1475	466
760	1477	464
761	1479	462
762	1480	460
763	1482	458
764	1484	456
765	1486	454
766	1488	452
767	1489	449
768	1491	448
769	1493	446
770	1495	444
771	1496	442
772	1498	440
773	1500	438
774	1502	436
775	1503	434
776	1505	432
777	1507	430
778	1508	428
779	1510	426
780	1512	424
781	1514	422
782	1516	420
783	1518	418
784	1519	416
785	1521	414
786	1523	412
787	1525	410
788	1526	408
789	1528	406
790	1530	404
791	1532	402
792	1533	400
793	1535	398
794	1536	396
795	1538	394
796	1540	392
797	1542	390
798	1543	388
799	1545	386
800	1547	384
801	1549	382
802	1550	380
803	1552	378
804	1554	376
805	1556	374
806	1557	372
807	1559	370
808	1561	368
809	1562	366
810	1564	364
811	1566	362
812	1568	360
813	1570	358
814	1572	356
815	1574	355
816	1576	353
817	1578	351
818	1579	349
819	1581	347
820	1582	345
821	1584	343
822	1586	341
823	1588	339
824	1594	338
825	1596	336
826	1597	334
827	1599	332
828	1601	330
829	1603	328
830	1605	326
831	1610	325
832	1612	323
833	1614	321
834	1616	319
835	1618	317
836	1619	315
837	1624	314
838	1626	312
839	1629	310
840	1631	308
841	1632	306
842	1634	304
843	1636	302
844	1641	301
845	1644	299
846	1645	297
847	1647	295
848	1649	293
849	1651	291
850	1654	289
851	1657	287
852	1660	286
853	1661	284
854	1663	282
855	1664	280
856	1667	278
857	1669	276
858	1674	274
859	1676	272
860	1677	270
861	1679	268
862	1681	266
863	1683	264
864	1685	263
865	1690	261
866	1692	259
867	1694	257
868	1696	255
869	1697	253
870	1699	251
871	1701	249
872	1706	248
873	1708	246
874	1710	244
875	1712	242
876	1713	240
877	1715	238
878	1717	236
879	1721	234
880	1724	232
881	1726	230
882	1727	228
883	1729	226
884	1731	224
885	1733	222
886	1737	221
887	1739	219
888	1741	217
889	1743	215
890	1745	213
891	1746	211
892	1748	209
893	1752	207
894	1754	205
895	1756	203
896	1758	201
897	1760	199
898	1762	198
899	1764	196
900	1766	194
901	1771	192
902	1773	190
903	1774	188
904	1776	186
905	1778	184
906	1780	182
907	1783	180
908	1786	178
909	1788	176
910	1790	174
911	1792	172
912	1794	170
913	1796	169
914	1798	167
915	1802	165
916	1805	163
917	1806	161
